Stadtgebiet;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländerinnen und Ausländer;Ausländeranteil in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Alleinerziehende;Anteil der Haushalte von Alleinerziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Zuzüge aus dem Hamburger Umland;Fortzüge;Fortzüge in das Hamburger Umland;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013);Beschäftigten-quote in % (Dez 2013);Arbeitslose (Dez 2013);Arbeitslosenanteil in % (Dez 2013);Jüngere Arbeitslose (Dez 2013);Arbeitslosenanteil Jüngerer in % (Dez 2013);Ältere Arbeitslose (Dez 2013);Arbeitslosenanteil Älterer in % (Dez 2013);Leistungs-empfänger/-innen nach SGB II (Dez 2013);Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013);Unter 15-Jährige in Mindestsicherung (Dez 2013);Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013);Bedarfs-gemeinschaften nach SGB II (Dez 2013);Lohn- und Einkommen-steuerpflichtige (2010);Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010);Wohngebäude (2013);Wohnungen (2013);Bezugsfertige Wohnungen (2013);Wohnungen in Ein- und Zweifamilien-häusern (2013);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013);Wohnungsgröße in m² (2013);Wohnfläche je Einwohner/-in in m² (2013);Sozialwohnungen (Jan 2014);Sozialwohnungs-anteil in % (Jan 2014);Sozialwohnungen mit Bindungsauslauf bis 2019;Sozialwohnungen mit Bindungsauslauf bis 2019 in %;Preise für Grundstücke in EUR/m² (Jan 2014);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014);Preise für Eigentums-wohnungen in EUR/m² (Jan 2014);Kindergärten und Vorschulklassen (März 2014);Grundschulen (2013/2014);Schülerinnen und Schüler der Sekundarstufe I (2013/2014);Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014);Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014);Niedergelassene Ärzte (Dez 2013);Allgemeinärzte (Dez 2013);Zahnärzte (Nov 2013);Apotheken (Nov 2013);Private PKW (Jan 2014);PKW-Dichte (Jan 2014)
Dulsberg; 17 234    ; 2 226    ; 12,9    ; 2 038    ; 11,8    ; 3 575    ; 20,7    ; 6 943    ; 40,3    ; 1 578    ; 71,4    ; 11 902    ; 1,5    ; 8 366    ; 70,3    ; 1 408    ; 11,8    ;  651    ; 46,2    ; 1,2    ; 14 519    ;  185    ;  148    ; 2 286    ;  170    ; 2 445    ;  213    ;-  159    ; 7 490;56,4; 1 215;9,2;  82;3,7;  135;8,7; 3 283;19,0;  917;47,7; 1 954; 8 800; 19 453; 1 064; 10 594;  0;  39;0,4;53,2;32,7; 1 016;9,6;  347;34,2;  597;.; 2 218;  8;  1;  663;71,3;23,8;  22;  8;  8;3; 3 820;  222
Barmbek-Nord; 39 890    ; 3 678    ; 9,2    ; 5 633    ; 14,1    ; 4 564    ; 11,4    ; 9 335    ; 23,4    ; 1 605    ; 43,8    ; 28 528    ; 1,4    ; 20 267    ; 71,0    ; 2 605    ; 9,1    ;  849    ; 32,6    ; 3,9    ; 10 192    ;  406    ;  377    ; 5 899    ;  558    ; 5 246    ;  591    ;  653    ; 19 505;62,8; 1 801;5,8;  105;2,4;  235;6,7; 3 510;8,8;  672;21,1; 2 499; 22 404; 25 545; 2 650; 26 315;  130;  261;1,0;56,2;37,1;  667;2,5;  365;54,7;  624;.; 2 612;  11;  2;  964;58,7;38,0;  92;  26;  36;12; 10 706;  268
Ohlsdorf; 15 085    ; 2 282    ; 15,1    ; 2 626    ; 17,4    ; 1 263    ; 8,4    ; 2 826    ; 18,7    ;  591    ; 26,0    ; 8 878    ; 1,7    ; 5 133    ; 57,8    ; 1 434    ; 16,2    ;  359    ; 25,0    ; 7,2    ; 2 105    ;  145    ;  130    ; 1 759    ;  159    ; 1 843    ;  227    ;-  84    ; 5 971;56,7;  444;4,2;  28;2,0;  79;5,0;  914;6,1;  187;9,7;  615; 8 464; 35 324; 2 380; 8 252;  99; 1 718;20,8;72,9;39,9;  395;4,8;  299;75,7;  576; 3 049; 2 527;  8;  1;  649;49,9;47,3;  14;  7;  8;4; 5 245;  348
Fuhlsbüttel; 12 130    ; 1 814    ; 15,0    ; 2 515    ; 20,7    ; 1 090    ; 9,0    ; 2 293    ; 18,9    ;  489    ; 27,2    ; 7 026    ; 1,7    ; 3 832    ; 54,5    ; 1 166    ; 16,6    ;  320    ; 27,4    ; 6,6    ; 1 843    ;  126    ;  110    ; 1 335    ;  119    ; 1 356    ;  220    ;-  21    ; 4 719;58,1;  388;4,8;  30;2,5;  61;4,6;  751;6,2;  180;12,1;  470; 6 507; 35 699; 2 038; 6 650;  4; 1 492;22,4;76,2;41,8;  182;2,7;  41;22,5;  511; 3 584; 2 482;  8;  2;  594;38,6;60,1;  25;  7;  20;4; 4 659;  384
Langenhorn; 42 030    ; 7 112    ; 16,9    ; 8 784    ; 20,9    ; 4 668    ; 11,1    ; 10 659    ; 25,4    ; 2 816    ; 39,8    ; 21 831    ; 1,9    ; 10 557    ; 48,4    ; 4 315    ; 19,8    ; 1 202    ; 27,9    ; 13,8    ; 3 056    ;  367    ;  505    ; 4 117    ;  594    ; 3 823    ;  920    ;  294    ; 15 158;55,1; 1 467;5,3;  146;3,0;  248;5,1; 3 900;9,3; 1 174;20,4; 2 068; 20 413; 28 562; 9 023; 20 189;  154; 8 207;40,7;75,4;36,2; 2 298;11,4; 1 320;57,4;  301; 2 262; 2 117;  23;  6; 2 430;55,1;40,2;  83;  21;  25;10; 15 823;  376
Eilbek; 20 887    ; 2 187    ; 10,5    ; 3 519    ; 16,8    ; 2 662    ; 12,7    ; 5 665    ; 27,1    ; 1 139    ; 52,2    ; 14 178    ; 1,5    ; 9 510    ; 67,1    ; 1 486    ; 10,5    ;  436    ; 29,3    ; 1,7    ; 12 101    ;  216    ;  209    ; 2 798    ;  234    ; 2 701    ;  329    ;  97    ; 9 458;61,1;  821;5,3;  44;2,1;  126;6,3; 1 581;7,6;  359;18,9; 1 018; 12 083; 28 782; 1 526; 12 918;  12;  186;1,4;62,2;38,5;  427;3,3;  30;7,0;  752; 3 419; 3 085;  12;  3;  583;49,2;46,0;  35;  12;  26;4; 6 135;  294
Wandsbek; 33 388    ; 3 938    ; 11,8    ; 6 669    ; 20,0    ; 4 378    ; 13,1    ; 9 731    ; 29,1    ; 2 055    ; 52,4    ; 21 008    ; 1,6    ; 12 903    ; 61,4    ; 2 626    ; 12,5    ;  762    ; 29,0    ; 6,0    ; 5 570    ;  310    ;  337    ; 4 221    ;  387    ; 3 913    ;  490    ;  308    ; 14 082;60,0; 1 409;6,0;  91;2,4;  225;6,5; 2 967;8,9;  713;21,9; 1 826; 17 569; 26 844; 3 864; 19 569;  130; 2 237;11,4;64,7;37,9;  928;4,7;  201;21,7;  384; 2 641; 2 444;  13;  5; 1 134;54,3;41,6;  62;  26;  40;8; 11 241;  337
Marienthal; 12 297    ; 1 756    ; 14,3    ; 2 777    ; 22,6    ; 1 015    ; 8,3    ; 2 687    ; 21,8    ;  621    ; 35,3    ; 6 945    ; 1,8    ; 3 672    ; 52,9    ; 1 154    ; 16,6    ;  232    ; 20,1    ; 3,3    ; 3 780    ;  142    ;  174    ; 1 369    ;  115    ; 1 346    ;  193    ;  23    ; 4 568;57,0;  310;3,9;  19;1,7;  66;4,9;  566;4,6;  124;8,3;  353; 6 676; 51 563; 2 122; 6 489;  13; 1 573;24,2;89,8;47,4;  25;0,4;  24;96,0;  496; 3 299; 2 815;  9;  1;  493;31,4;66,9;  73;  13;  15;5; 5 238;  426
Jenfeld; 24 710    ; 4 624    ; 18,7    ; 4 559    ; 18,5    ; 4 569    ; 18,5    ; 12 414    ; 50,2    ; 3 246    ; 70,4    ; 12 416    ; 2,0    ; 5 869    ; 47,3    ; 2 673    ; 21,5    ;  842    ; 31,5    ; 5,0    ; 4 917    ;  255    ;  255    ; 2 345    ;  165    ; 2 350    ;  350    ;-  5    ; 7 565;46,4; 1 648;10,1;  118;3,5;  266;8,7; 5 143;20,8; 1 683;43,7; 2 440; 10 128; 22 025; 2 615; 10 751;  16; 2 060;19,2;72,7;31,6; 2 197;20,4; 1 099;50,0;  336; 2 258; 1 954;  13;  4; 1 619;64,6;29,7;  30;  13;  18;5; 7 305;  296
Tonndorf; 13 522    ; 2 165    ; 16,0    ; 2 598    ; 19,2    ; 1 735    ; 12,8    ; 4 346    ; 32,2    ; 1 141    ; 53,1    ; 7 595    ; 1,8    ; 4 022    ; 53,0    ; 1 334    ; 17,6    ;  356    ; 26,7    ; 3,9    ; 3 431    ;  147    ;  168    ; 1 495    ;  124    ; 1 422    ;  250    ;  73    ; 5 216;57,4;  572;6,3;  38;2,7;  111;7,6; 1 408;10,4;  415;22,6;  788; 6 840; 30 509; 2 272; 6 944;  78; 1 765;25,4;76,6;39,3;  448;6,5;  293;65,4;  349; 2 463; 1 994;  4;  1;  686;57,6;38,3;  21;  6;  9;3; 5 226;  386
Farmsen-Berne; 33 992    ; 5 840    ; 17,2    ; 6 847    ; 20,1    ; 3 432    ; 10,1    ; 9 225    ; 27,1    ; 2 448    ; 42,0    ; 17 536    ; 1,9    ; 8 085    ; 46,1    ; 3 757    ; 21,4    ; 1 000    ; 26,6    ; 8,3    ; 4 117    ;  293    ;  403    ; 3 216    ;  232    ; 2 560    ;  385    ;  656    ; 12 718;57,0; 1 112;5,0;  82;2,4;  178;4,4; 3 537;10,4; 1 068;22,2; 1 805; 16 565; 29 526; 6 346; 16 512;  158; 5 636;34,1;75,8;36,8; 1 084;6,6;  85;7,8;  375; 2 570; 2 152;  21;  8; 1 969;55,7;39,3;  37;  15;  15;5; 12 881;  379
Bramfeld; 50 699    ; 7 153    ; 14,1    ; 11 227    ; 22,1    ; 4 876    ; 9,6    ; 12 696    ; 25,1    ; 2 927    ; 41,1    ; 29 140    ; 1,8    ; 15 409    ; 52,9    ; 4 741    ; 16,3    ; 1 453    ; 30,6    ; 10,1    ; 5 024    ;  500    ;  534    ; 4 345    ;  339    ; 4 435    ;  635    ;-  90    ; 19 341;57,6; 1 926;5,7;  153;2,9;  312;5,0; 5 142;10,1; 1 333;22,6; 3 027; 25 903; 28 716; 8 870; 27 318;  47; 7 382;27,0;70,8;38,1; 1 784;6,5;  108;6,1;  392; 2 714; 2 354;  24;  5; 2 382;52,8;43,2;  74;  33;  39;10; 20 091;  396
Steilshoop; 19 448    ; 3 732    ; 19,2    ; 3 665    ; 18,8    ; 4 000    ; 20,6    ; 9 003    ; 46,3    ; 2 459    ; 65,9    ; 9 686    ; 2,0    ; 4 398    ; 45,4    ; 2 175    ; 22,5    ;  702    ; 32,3    ; 2,5    ; 7 915    ;  210    ;  182    ; 1 681    ;  102    ; 1 621    ;  182    ;  60    ; 6 247;49,1; 1 196;9,4;  114;4,7;  157;6,6; 4 310;22,2; 1 399;45,9; 1 987; 8 599; 21 593;  953; 8 719;  3;  335;3,8;74,3;33,3; 3 051;35,0;  303;9,9;  361;.; 1 599;  12;  3; 1 284;64,4;28,6;  10;  7;  8;3; 5 779;  297
Wellingsbüttel; 10 290    ; 1 801    ; 17,5    ; 2 988    ; 29,0    ;  600    ; 5,8    ; 1 538    ; 14,9    ;  391    ; 21,8    ; 5 061    ; 2,0    ; 2 079    ; 41,1    ; 1 059    ; 20,9    ;  179    ; 16,9    ; 4,1    ; 2 527    ;  67    ;  152    ; 1 051    ;  91    ;  956    ;  98    ;  95    ; 2 834;48,7;  130;2,2;  7;0,8;  30;2,6;  131;1,3;  22;1,5;  100; 5 152; 82 817; 2 779; 4 975;  52; 2 595;52,2;118,7;57,4;  22;0,4;  22;100,0;  631; 3 670; 2 952;  7;  1;  613;18,3;80,9;  25;  8;  12;2; 5 270;  512
Sasel; 23 170    ; 4 348    ; 18,8    ; 5 803    ; 25,0    ; 1 084    ; 4,7    ; 3 145    ; 13,6    ;  879    ; 20,3    ; 10 938    ; 2,2    ; 3 994    ; 36,5    ; 2 607    ; 23,8    ;  360    ; 13,8    ; 8,4    ; 2 772    ;  166    ;  183    ; 1 599    ;  157    ; 1 510    ;  214    ;  89    ; 7 032;50,9;  333;2,4;  21;1,0;  100;3,2;  313;1,4;  55;1,5;  216; 11 134; 57 224; 7 184; 10 502;  147; 7 264;69,2;111,8;50,7;  36;0,3;  0;0,0;  498; 3 167; 2 595;  11;  3; 1 561;33,0;65,7;  30;  9;  15;2; 11 577;  500
Poppenbüttel; 22 368    ; 3 340    ; 14,9    ; 7 423    ; 33,2    ; 1 199    ; 5,4    ; 3 710    ; 16,6    ;  918    ; 27,6    ; 10 787    ; 2,0    ; 4 377    ; 40,6    ; 2 085    ; 19,3    ;  374    ; 17,9    ; 8,1    ; 2 755    ;  126    ;  493    ; 1 804    ;  166    ; 1 494    ;  235    ;  310    ; 6 505;53,2;  344;2,8;  23;1,2;  88;3,2;  506;2,3;  122;4,5;  297; 11 658; 46 719; 6 016; 10 345;  106; 5 909;57,1;103,2;47,8;  553;5,3;  343;62,0;  428; 2 921; 2 765;  10;  3; 1 169;32,6;66,0;  114;  30;  50;9; 10 489;  469
Hummelsbüttel; 17 051    ; 2 891    ; 17,0    ; 4 260    ; 25,0    ; 1 870    ; 11,0    ; 5 198    ; 30,5    ; 1 354    ; 46,9    ; 8 448    ; 2,0    ; 3 489    ; 41,3    ; 1 747    ; 20,7    ;  481    ; 27,5    ; 9,2    ; 1 861    ;  136    ;  169    ; 1 469    ;  135    ; 1 416    ;  233    ;  53    ; 5 413;52,0;  567;5,4;  42;2,5;  88;3,9; 1 706;10,0;  511;21,5;  831; 8 087; 35 924; 2 709; 7 931;  24; 2 195;27,7;88,2;41,0; 2 163;27,3;  654;30,2;  415; 3 064; 2 457;  9;  1; 1 013;46,2;51,2;  14;  10;  10;2; 7 155;  420
Lemsahl-Mellingstedt; 6 540    ; 1 232    ; 18,8    ; 1 278    ; 19,5    ;  268    ; 4,1    ;  822    ; 12,6    ;  250    ; 20,3    ; 2 805    ; 2,4    ;  784    ; 28,0    ;  760    ; 27,1    ;  111    ; 14,6    ; 7,9    ;  824    ;  52    ;  26    ;  448    ;  42    ;  451    ;  52    ;-  3    ; 2 010;46,9;  71;1,7;  0;0,0;  17;1,8;  64;1,0;  20;2,0;  37; 3 114; 68 524; 2 284; 2 654;  31; 2 402;90,5;132,2;53,7;  29;1,1;  0;0,0;  375; 3 147; 2 735;  4;  1;  435;27,4;71,3;  3;  2;  1;1; 3 653;  559
Duvenstedt; 6 241    ; 1 450    ; 23,2    ; 1 156    ; 18,5    ;  450    ; 7,2    ;  897    ; 14,4    ;  339    ; 23,4    ; 2 544    ; 2,5    ;  719    ; 28,3    ;  834    ; 32,8    ;  143    ; 17,1    ; 6,8    ;  915    ;  42    ;  41    ;  467    ;  48    ;  522    ;  104    ;-  55    ; 1 891;47,8;  85;2,1;  12;1,4;  17;2,9;  185;3,0;  69;6,1;  74; 2 749; 61 306; 1 732; 2 453;  69; 1 776;72,4;117,2;46,1;  82;3,3;  16;19,5;  362; 2 808; 2 382;  3;  1;  604;30,0;66,7;  13;  5;  9;3; 3 017;  483
Wohldorf-Ohlstedt; 4 433    ;  943    ; 21,3    ;  992    ; 22,4    ;  173    ; 3,9    ;  527    ; 11,9    ;  184    ; 19,6    ; 1 960    ; 2,3    ;  603    ; 30,8    ;  545    ; 27,8    ;  86    ; 15,8    ; 17,3    ;  256    ;  30    ;  26    ;  338    ;  30    ;  329    ;  51    ;  9    ; 1 173;43,9;  46;1,7;  0;0,0;  12;2,2;  56;1,3;  16;2,1;  30; 2 025; 86 614; 1 442; 1 850;  23; 1 492;80,6;143,1;59,7;  6;0,3;  0;0,0;  404; 3 071; 2 481;  4;  1;  354;30,2;68,1;  1;  1;  4;1; 2 333;  526
Bergstedt; 10 206    ; 2 107    ; 20,6    ; 2 260    ; 22,1    ;  313    ; 3,1    ; 1 169    ; 11,4    ;  379    ; 18,0    ; 4 658    ; 2,2    ; 1 657    ; 35,6    ; 1 271    ; 27,3    ;  248    ; 19,5    ; 7,1    ; 1 447    ;  78    ;  93    ;  680    ;  77    ;  628    ;  123    ;  52    ; 3 168;50,9;  133;2,1;  9;0,9;  28;2,4;  230;2,3;  64;3,7;  135; 4 764; 46 426; 2 763; 4 455;  51; 2 708;60,8;102,8;44,9;  188;4,2;  7;3,7;  376; 2 954; 2 305;  8;  2;  747;42,6;55,4;  5;  5;  6;2; 4 784;  469
Volksdorf; 20 200    ; 4 146    ; 20,5    ; 5 196    ; 25,7    ;  967    ; 4,8    ; 2 756    ; 13,7    ;  852    ; 20,6    ; 9 180    ; 2,2    ; 3 363    ; 36,6    ; 2 377    ; 25,9    ;  490    ; 20,6    ; 11,6    ; 1 745    ;  136    ;  219    ; 1 547    ;  154    ; 1 450    ;  218    ;  97    ; 5 465;46,8;  275;2,4;  11;0,5;  74;2,9;  577;2,9;  180;5,4;  299; 9 519; 57 685; 5 389; 8 760;  101; 5 177;59,1;111,9;48,5;  749;8,6;  398;53,1;  513; 3 493; 3 002;  16;  4; 1 629;39,5;57,9;  79;  24;  27;5; 9 004;  446
Rahlstedt; 87 783    ; 14 912    ; 17,0    ; 20 347    ; 23,2    ; 8 305    ; 9,5    ; 24 039    ; 27,4    ; 6 303    ; 42,4    ; 45 358    ; 1,9    ; 20 500    ; 45,2    ; 9 414    ; 20,8    ; 2 728    ; 29,0    ; 26,6    ; 3 303    ;  781    ;  957    ; 6 903    ;  698    ; 6 494    ; 1 382    ;  409    ; 30 602;55,4; 2 933;5,3;  239;2,6;  422;4,1; 8 956;10,2; 2 838;23,2; 4 614; 41 811; 31 196; 14 949; 43 077;  179; 12 259;28,5;80,9;39,7; 3 992;9,3; 1 037;26,0;  350; 2 524; 2 150;  35;  13; 5 233;51,3;44,1;  155;  55;  64;16; 34 903;  398
Lohbrügge; 39 069    ; 6 101    ; 15,6    ; 9 391    ; 24,0    ; 4 071    ; 10,4    ; 14 089    ; 36,1    ; 3 273    ; 53,8    ; 20 460    ; 1,9    ; 9 640    ; 47,1    ; 3 845    ; 18,8    ; 1 105    ; 28,7    ; 13,0    ; 2 995    ;  316    ;  435    ; 3 112    ;  494    ; 2 928    ;  677    ;  184    ; 13 906;56,2; 1 526;6,2;  97;2,2;  254;5,7; 4 277;10,9; 1 163;23,5; 2 352; 18 306; 27 477; 5 642; 19 749;  129; 4 375;22,2;74,6;37,7; 2 415;12,2; 1 304;54,0;  345; 2 584; 1 806;  13;  4; 2 268;56,0;40,9;  54;  21;  23;7; 14 079;  360
Bergedorf; 33 129    ; 5 388    ; 16,3    ; 6 843    ; 20,7    ; 3 432    ; 10,4    ; 8 992    ; 27,1    ; 2 028    ; 37,8    ; 17 684    ; 1,9    ; 8 777    ; 49,6    ; 3 284    ; 18,6    ;  940    ; 28,6    ; 10,4    ; 3 199    ;  297    ;  410    ; 3 622    ;  612    ; 3 038    ;  720    ;  584    ; 11 978;54,7; 1 152;5,3;  89;2,4;  168;4,5; 2 960;8,9;  766;17,4; 1 733; 15 866; 32 742; 5 064; 16 275;  81; 3 995;24,5;79,5;39,1; 1 062;6,5;  644;60,6;  370; 2 443; 2 372;  19;  7; 1 805;50,2;46,3;  139;  36;  46;12; 11 549;  349
Curslack; 3 930    ;  785    ; 20,0    ;  600    ; 15,3    ;  684    ; 17,4    ;  955    ; 24,2    ;  270    ; 34,3    ; 1 535    ; 2,2    ;  520    ; 33,9    ;  386    ; 25,1    ;  83    ; 21,5    ; 10,6    ;  370    ;  48    ;  26    ;  534    ;  49    ;  534    ;  67    ;-    ; 1 340;49,7;  97;3,6;  8;1,6;  14;3,3;  232;5,9;  72;11,3;  125; 1 696; 38 200;  924; 1 428;  8;  950;66,5;104,3;37,9;  17;1,2;  12;70,6;  207; 1 822;.;  1;  1;  269;55,0;40,9;  6;  5;  0;1; 1 719;  437
Altengamme; 2 199    ;  420    ; 19,1    ;  439    ; 20,0    ;  53    ; 2,4    ;  149    ; 6,8    ;  48    ; 11,5    ;  987    ; 2,2    ;  311    ; 31,5    ;  260    ; 26,3    ;  58    ; 22,3    ; 15,6    ;  141    ;  20    ;  17    ;  131    ;  25    ;  157    ;  51    ;-  26    ;  829;57,9;  33;2,3;  3;1,3;  7;2,4;  80;3,6;  34;10,3;  33; 1 064; 44 570;  632;  886;  8;  686;77,4;107,4;43,3;  4;0,5;  0;0,0;  172; 2 344;.;  1;  1;  167;55,7;41,9;  2;  2;  0;0; 1 179;  536
Neuengamme; 3 584    ;  606    ; 16,9    ;  761    ; 21,2    ;  112    ; 3,1    ;  245    ; 6,8    ;  50    ; 8,3    ; 1 629    ; 2,2    ;  554    ; 34,0    ;  379    ; 23,3    ;  74    ; 19,5    ; 18,6    ;  193    ;  22    ;  29    ;  306    ;  38    ;  273    ;  54    ;  33    ; 1 320;56,4;  62;2,6;  6;1,6;  7;1,6;  79;2,2;  16;3,3;  50; 1 766; 35 802; 1 029; 1 496;  11; 1 115;74,5;107,9;45,0;  20;1,3;  0;0,0;  191; 1 972;.;  2;  0;  228;61,8;36,4;  1;  1;  2;0; 1 909;  533
Kirchwerder; 9 286    ; 1 607    ; 17,3    ; 1 849    ; 19,9    ;  301    ; 3,2    ;  726    ; 7,8    ;  179    ; 11,1    ; 4 255    ; 2,2    ; 1 399    ; 32,9    ; 1 012    ; 23,8    ;  211    ; 20,8    ; 32,4    ;  287    ;  60    ;  72    ;  599    ;  79    ;  567    ;  134    ;  32    ; 3 712;60,3;  139;2,3;  14;1,4;  30;2,4;  198;2,1;  44;3,4;  126; 4 681; 36 752; 2 692; 3 938;  38; 2 964;75,3;106,9;45,3;  34;0,9;  8;23,5;  179; 1 865;.;  8;  3;  594;66,0;31,6;  8;  8;  3;2; 5 062;  545
Ochsenwerder; 2 451    ;  414    ; 16,9    ;  514    ; 21,0    ;  177    ; 7,2    ;  298    ; 12,2    ;  80    ; 19,3    ; 1 152    ; 2,2    ;  401    ; 34,8    ;  256    ; 22,2    ;  45    ; 17,6    ; 14,1    ;  174    ;  13    ;  16    ;  245    ;  13    ;  201    ;  41    ;  44    ;  890;55,6;  46;2,9;  6;2,4;  11;3,9;  55;2,2;  12;3,6;  33; 1 147; 33 972;  675; 1 022;  12;  718;70,3;119,6;49,9;  3;0,3;  0;0,0;  172; 1 817;.;  1;  1;  138;62,3;34,8;  2;  2;  0;0; 1 404;  573
Reitbrook;  484    ;  60    ; 12,4    ;  124    ; 25,6    ;  32    ; 6,6    ;  55    ; 11,4    ;  9    ; 15,0    ;  238    ; 2,0    ;  93    ; 39,1    ;  38    ; 16,0    ;  5    ; 13,2    ; 6,9    ;  70    ;  5    ;  6    ;  53    ;  1    ;  58    ;  2    ;-  5    ;  166;52,9;  6;1,9;  0;0,0;  3;3,9;  8;1,7;  3;6,5;  6;  238; 34 580;  143;  224;  2;  148;66,1;118,9;55,0;  0;0,0;  0;0,0;  168;.;.;  0;  0;  27;66,7;33,3;  0;  0;  2;0;  280;  579
Allermöhe; 1 322    ;  212    ; 16,0    ;  253    ; 19,1    ;  76    ; 5,7    ;  220    ; 16,6    ;  52    ; 24,6    ;  631    ; 2,1    ;  234    ; 37,1    ;  129    ; 20,4    ;  26    ; 20,2    ; 8,7    ;  153    ;  10    ;  6    ;  136    ;  7    ;  156    ;  18    ;-  20    ;  488;54,2;  22;2,4;  3;2,1;  3;1,6;  29;2,2;  6;3,6;  16;  653; 35 822;  448;  579;  7;  496;85,7;114,7;50,2;  0;0,0;  0;0,0;  169; 2 126;.;  2;  0;  89;53,9;44,9;  0;  0;  7;0;  746;  564
Billwerder; 1 335    ;  197    ; 14,8    ;  263    ; 19,7    ;  167    ; 12,5    ;  266    ; 20,0    ;  39    ; 19,8    ;  671    ; 2,0    ;  307    ; 45,8    ;  116    ; 17,3    ;  29    ; 25,0    ; 9,5    ;  141    ;  8    ;  10    ;  156    ;  22    ;  124    ;  15    ;  32    ;  434;47,9;  35;3,9;  3;2,5;  7;4,1;  64;4,8;  20;12,0;  34;  618; 29 391;  377;  554;  5;  400;72,2;93,4;38,8;  0;0,0;  0;0,0;  176;.;.;  1;  1;  66;51,5;45,5;  0;  0;  0;0;  583;  437
Moorfleet; 1 249    ;  217    ; 17,4    ;  192    ; 15,4    ;  186    ; 14,9    ;  305    ; 24,6    ;  71    ; 33,0    ;  595    ; 2,0    ;  263    ; 44,2    ;  124    ; 20,8    ;  16    ; 12,9    ; 4,3    ;  292    ;  3    ;  6    ;  207    ;  11    ;  136    ;  20    ;  71    ;  413;46,5;  41;4,6;  3;2,2;  8;5,0;  75;6,0;  16;9,5;  47;  569; 32 536;  328;  439;  2;  354;80,6;101,0;35,5;  0;0,0;  0;0,0;  163; 1 808;.;  0;  0;  66;65,2;31,8;  0;  0;  0;0;  628;  503
Tatenberg;  537    ;  99    ; 18,4    ;  103    ; 19,2    ;  15    ; 2,8    ;  42    ; 7,8    ;  12    ; 11,9    ;  232    ; 2,3    ;  68    ; 29,3    ;  65    ; 28,0    ;  7    ; 10,8    ; 3,1    ;  173    ;  6    ;  5    ;  31    ;  2    ;  38    ;-    ;-  7    ;  211;60,6;  7;2,0;  0;0,0;  3;4,6;  9;1,7;  0;0,0;  6;  254; 38 768;  158;  216;  3;  180;83,3;115,0;46,3;  0;0,0;  0;0,0;  180;.;.;  0;  0;  37;59,5;40,5;  0;  0;  0;0;  306;  570
Spadenland;  478    ;  83    ; 17,4    ;  100    ; 20,9    ;  13    ; 2,7    ;  21    ; 4,4    ;  6    ; 7,2    ;  222    ; 2,2    ;  77    ; 34,7    ;  48    ; 21,6    ;  6    ; 12,5    ; 3,4    ;  141    ;  4    ;  3    ;  32    ;  3    ;  52    ;  12    ;-  20    ;  179;57,6;  10;3,2;  0;0,0;  3;4,9;  9;1,9;  0;0,0;  8;  262; 30 006;  112;  200;  4;  120;60,0;109,5;45,8;  0;0,0;  0;0,0;  179;.;.;  0;  0;  34;64,7;35,3;  0;  0;  0;0;  278;  582
Neuallermöhe; 23 762    ; 5 817    ; 24,5    ; 1 611    ; 6,8    ; 3 804    ; 16,0    ; 14 705    ; 61,9    ; 4 283    ; 73,9    ; 9 391    ; 2,5    ; 2 629    ; 28,0    ; 3 381    ; 36,0    ;  897    ; 26,5    ; 4,2    ; 5 647    ;  288    ;  72    ; 1 765    ;  184    ; 1 838    ;  311    ;-  73    ; 9 280;53,1; 1 193;6,8;  99;2,6;  158;5,9; 4 472;18,8; 1 579;33,8; 1 903; 9 307; 26 777; 3 115; 8 975;  139; 2 427;27,0;80,4;30,4; 5 133;57,2;  476;9,3;  259;.;.;  8;  3; 2 079;55,9;40,5;  13;  7;  0;2; 7 414;  312
