Stadtgebiet;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländerinnen und Ausländer;Ausländeranteil in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Alleinerziehende;Anteil der Haushalte von Alleinerziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Zuzüge aus dem Hamburger Umland;Fortzüge;Fortzüge in das Hamburger Umland;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013);Beschäftigten-quote in % (Dez 2013);Arbeitslose (Dez 2013);Arbeitslosenanteil in % (Dez 2013);Jüngere Arbeitslose (Dez 2013);Arbeitslosenanteil Jüngerer in % (Dez 2013);Ältere Arbeitslose (Dez 2013);Arbeitslosenanteil Älterer in % (Dez 2013);Leistungs-empfänger/-innen nach SGB II (Dez 2013);Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013);Unter 15-Jährige in Mindestsicherung (Dez 2013);Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013);Bedarfs-gemeinschaften nach SGB II (Dez 2013);Lohn- und Einkommen-steuerpflichtige (2010);Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010);Wohngebäude (2013);Wohnungen (2013);Bezugsfertige Wohnungen (2013);Wohnungen in Ein- und Zweifamilien-häusern (2013);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013);Wohnungsgröße in m² (2013);Wohnfläche je Einwohner/-in in m² (2013);Sozialwohnungen (Jan 2014);Sozialwohnungs-anteil in % (Jan 2014);Sozialwohnungen mit Bindungsauslauf bis 2019;Sozialwohnungen mit Bindungsauslauf bis 2019 in %;Preise für Grundstücke in EUR/m² (Jan 2014);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014);Preise für Eigentums-wohnungen in EUR/m² (Jan 2014);Kindergärten und Vorschulklassen (März 2014);Grundschulen (2013/2014);Schülerinnen und Schüler der Sekundarstufe I (2013/2014);Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014);Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014);Niedergelassene Ärzte (Dez 2013);Allgemeinärzte (Dez 2013);Zahnärzte (Nov 2013);Apotheken (Nov 2013);Private PKW (Jan 2014);PKW-Dichte (Jan 2014)
Eidelstedt; 30 935    ; 4 907    ; 15,9    ; 7 149    ; 23,1    ; 4 235    ; 13,7    ; 9 671    ; 31,2    ; 2 482    ; 50,6    ; 16 639    ; 1,9    ; 8 161    ; 49,0    ; 3 057    ; 18,4    ;  864    ; 28,3    ; 8,7    ; 3 560    ;  341    ;  338    ; 2 783    ;  389    ; 2 801    ;  611    ;-  18    ; 10 901;55,1; 1 242;6,3;  100;3,0;  174;4,8; 3 378;10,9; 1 006;25,2; 1 805; 15 112; 27 988; 4 956; 15 343;  30; 4 270;27,8;75,0;37,2; 1 654;10,8;  596;36,0;  348; 2 507; 2 327;  11;  5; 1 550;61,4;34,7;  50;  14;  21;6; 11 082;  358
Stellingen; 23 818    ; 3 117    ; 13,1    ; 4 929    ; 20,7    ; 3 477    ; 14,6    ; 7 031    ; 29,5    ; 1 444    ; 46,6    ; 13 873    ; 1,7    ; 7 999    ; 57,7    ; 2 041    ; 14,7    ;  548    ; 26,8    ; 5,8    ; 4 119    ;  250    ;  248    ; 3 361    ;  265    ; 2 993    ;  446    ;  368    ; 9 300;57,2;  941;5,8;  61;2,4;  141;5,8; 1 927;8,1;  430;16,3; 1 245; 12 062; 30 114; 2 718; 13 182;  48; 1 661;12,6;69,4;38,4;  150;1,1;  59;39,3;  341; 2 720; 2 601;  11;  3;  907;49,4;44,2;  40;  13;  10;3; 8 058;  338
Hoheluft-Ost; 9 331    ; 1 190    ; 12,8    ; 1 428    ; 15,3    ;  981    ; 10,5    ; 1 898    ; 20,4    ;  317    ; 27,0    ; 6 135    ; 1,6    ; 3 896    ; 63,5    ;  815    ; 13,3    ;  224    ; 27,5    ; 0,6    ; 16 060    ;  123    ;  51    ; 1 127    ;  57    ; 1 211    ;  116    ;-  84    ; 3 859;56,3;  263;3,8;  10;1,5;  53;4,9;  334;3,6;  39;3,7;  273; 5 298; 48 162;  624; 5 837;  26;  93;1,6;72,2;45,1;  172;2,9;  74;43,0; 1 623;.; 4 067;  6;  1;  315;23,2;75,9;  162;  46;  17;4; 3 168;  340
Eppendorf; 23 777    ; 3 135    ; 13,2    ; 4 222    ; 17,8    ; 2 100    ; 8,8    ; 4 408    ; 18,5    ;  847    ; 27,1    ; 15 054    ; 1,6    ; 9 464    ; 62,9    ; 2 095    ; 13,9    ;  499    ; 23,8    ; 2,7    ; 8 754    ;  292    ;  205    ; 3 164    ;  211    ; 2 854    ;  187    ;  310    ; 9 581;56,8;  533;3,2;  20;1,0;  105;4,4;  585;2,5;  81;3,0;  456; 13 328; 61 052; 1 619; 13 987;  55;  368;2,6;79,8;47,0;  682;4,9;  71;10,4; 1 767; 5 103; 4 340;  14;  3;  817;21,7;74,5;  147;  25;  41;11; 8 001;  337
Groß Borstel; 8 086    ; 1 279    ; 15,8    ; 1 740    ; 21,5    ;  841    ; 10,4    ; 1 708    ; 21,1    ;  374    ; 29,3    ; 4 599    ; 1,8    ; 2 578    ; 56,1    ;  794    ; 17,3    ;  189    ; 23,8    ; 4,5    ; 1 784    ;  124    ;  89    ;  996    ;  65    ;  867    ;  110    ;  129    ; 2 818;53,3;  253;4,8;  8;1,0;  52;5,1;  498;6,2;  88;8,3;  363; 3 955; 39 426; 1 735; 4 396;  21; 1 563;35,6;74,4;40,4;  255;5,8;  135;52,9;  454; 3 358; 2 379;  8;  2;  420;42,9;53,3;  9;  6;  7;2; 3 135;  388
Alsterdorf; 13 749    ; 2 285    ; 16,6    ; 2 720    ; 19,8    ; 1 608    ; 11,7    ; 3 218    ; 23,4    ;  815    ; 35,8    ; 7 383    ; 1,8    ; 4 019    ; 54,4    ; 1 354    ; 18,3    ;  358    ; 26,4    ; 3,1    ; 4 492    ;  145    ;  168    ; 1 679    ;  118    ; 1 523    ;  135    ;  156    ; 4 658;51,1;  341;3,7;  18;1,4;  57;3,7;  741;5,4;  213;11,1;  434; 6 459; 51 489; 1 933; 7 174;  93; 1 282;17,9;78,0;40,7;  722;10,1;  386;53,5;  627; 3 884; 3 239;  10;  2;  683;35,9;59,2;  34;  9;  11;5; 5 019;  365
Winterhude; 51 549    ; 5 984    ; 11,6    ; 7 765    ; 15,1    ; 5 793    ; 11,2    ; 11 017    ; 21,4    ; 1 874    ; 31,5    ; 33 963    ; 1,5    ; 22 656    ; 66,7    ; 4 056    ; 11,9    ; 1 076    ; 26,5    ; 7,6    ; 6 783    ;  669    ;  359    ; 7 327    ;  503    ; 6 813    ;  646    ;  514    ; 22 515;58,4; 1 440;3,7;  66;1,4;  232;4,6; 2 246;4,4;  416;8,0; 1 596; 29 212; 48 915; 3 510; 31 371;  179;  686;2,2;69,0;42,0;  866;2,8;  423;48,8; 1 942; 4 725; 4 384;  36;  6; 1 598;41,9;55,7;  222;  40;  68;14; 16 896;  328
Uhlenhorst; 16 501    ; 1 827    ; 11,1    ; 3 377    ; 20,5    ; 1 716    ; 10,4    ; 3 603    ; 21,8    ;  632    ; 34,6    ; 10 803    ; 1,6    ; 6 931    ; 64,2    ; 1 267    ; 11,7    ;  283    ; 22,3    ; 2,2    ; 7 583    ;  190    ;  216    ; 2 351    ;  187    ; 1 979    ;  180    ;  372    ; 6 534;56,9;  400;3,5;  10;0,9;  82;4,8;  442;2,7;  60;3,7;  334; 9 688; 57 277; 1 130; 10 117;  131;  197;1,9;77,6;47,6;  0;0,0;  0;0,0; 2 625;.; 4 836;  11;  1;  435;26,2;71,7;  95;  24;  18;4; 6 139;  372
Hohenfelde; 9 149    ;  961    ; 10,5    ; 1 558    ; 17,0    ; 1 470    ; 16,1    ; 2 901    ; 31,8    ;  515    ; 53,7    ; 6 033    ; 1,5    ; 4 082    ; 67,7    ;  617    ; 10,2    ;  168    ; 27,2    ; 1,1    ; 7 990    ;  83    ;  108    ; 1 429    ;  80    ; 1 416    ;  119    ;  13    ; 3 760;55,5;  296;4,4;  17;1,8;  41;4,6;  613;6,7;  134;16,3;  392; 4 973; 36 850;  660; 5 537;  0;  131;2,4;67,3;40,7;  343;6,2;  282;82,2; 1 200;.; 3 987;  3;  0;  252;45,2;48,4;  33;  12;  13;3; 2 648;  289
Barmbek-Süd; 32 782    ; 3 105    ; 9,5    ; 5 100    ; 15,6    ; 3 917    ; 11,9    ; 7 902    ; 24,1    ; 1 368    ; 44,3    ; 22 991    ; 1,4    ; 16 015    ; 69,7    ; 2 239    ; 9,7    ;  775    ; 34,6    ; 3,1    ; 10 713    ;  323    ;  298    ; 4 911    ;  412    ; 4 426    ;  494    ;  485    ; 15 437;61,8; 1 335;5,3;  67;2,1;  216;7,2; 2 377;7,3;  479;17,8; 1 635; 18 800; 28 731; 2 042; 21 156;  270;  112;0,5;58,1;37,5;  643;3,0;  313;48,7;  638;.; 3 116;  24;  3;  809;53,3;43,4;  46;  22;  25;7; 9 545;  291
